census_block_id	category	sub_category	value	devices	sub_category_sort_order	unit
060290032123	Age	65+	0.0848	1	7	percent
060290032123	Economic	Median HH Income	170197.0	1	1	dollar
060290032123	Economic	Median Home Value	423200.0	1	2	dollar
060290032123	Education	No HS	0.0343	1	1	percent
060290032123	Education	HS	0.2224	1	2	percent
060290032123	Education	Some College/2 Year	0.2178	1	3	percent
060290032123	Education	Bachelor	0.2612	1	4	percent
060290032123	Education	Higher Degree	0.2643	1	5	percent
060290032123	Income	0-29K	0.0	1	1	percent
060290032123	Income	30-74K	0.0365	1	2	percent
060290032123	Income	75-99K	0.1569	1	3	percent
060290032123	Income	100-149K	0.2409	1	4	percent
060290032123	Income	150K+	0.5658	1	5	percent
060290032123	Race	African American	0.0	1	1	percent
060290032123	Race	Asian	0.4628	1	2	percent
060290032123	Race	Hispanic	0.1065	1	3	percent
060290032123	Race	Other or Mixed	0.0154	1	4	percent
060290032123	Race	White	0.4152	1	5	percent
060290054102	Population	Population	579	1	1	people
060290054102	Population	Median Age	55.7	1	2	people
060290054102	Age	<18	0.1313	1	1	percent
060290054102	Age	18-24	0.2159	1	2	percent
060290054102	Age	25-34	0.0	1	3	percent
060290054102	Age	35-44	0.019	1	4	percent
060290054102	Age	45-54	0.0915	1	5	percent
060290054102	Age	55-64	0.057	1	6	percent
060290054102	Age	65+	0.4853	1	7	percent
060290054102	Economic	Median HH Income	52483.0	1	1	dollar
060290054102	Economic	Median Home Value	86900.0	1	2	dollar
060290054102	Education	No HS	0.037	1	1	percent
060290054102	Education	HS	0.0265	1	2	percent
060290054102	Education	Some College/2 Year	0.8571	1	3	percent
060290054102	Education	Bachelor	0.0794	1	4	percent
060290054102	Education	Higher Degree	0.0	1	5	percent
060290054102	Income	0-29K	0.1718	1	1	percent
060290054102	Income	30-74K	0.5419	1	2	percent
060290054102	Income	75-99K	0.0	1	3	percent
060290054102	Income	100-149K	0.2335	1	4	percent
060290054102	Income	150K+	0.0529	1	5	percent
060290054102	Race	African American	0.0	1	1	percent
060290054102	Race	Asian	0.0	1	2	percent
060290054102	Race	Hispanic	0.0432	1	3	percent
060290054102	Race	Other or Mixed	0.3592	1	4	percent
060290054102	Race	White	0.5976	1	5	percent
060290065001	Population	Population	1060	1	1	people
